H,1,1.008,0.08988
He,2,4.0026,0.1786
Li,3,6.94,0.534
Be,4,9.0122,1.85
B,5,10.81,2.34
C,6,12.011,2.267
N,7,14.007,0.001251
O,8,15.999,0.001429
F,9,18.998,0.001696
Ne,10,20.180,0.0008999
Na,11,22.990,0.971
Mg,12,24.305,1.738
Al,13,26.982,2.70
Si,14,28.085,2.33
P,15,30.974,1.82
S,16,32.06,2.07
Cl,17,35.453,0.003214
Ar,18,39.948,0.0017837
K,19,39.098,0.862
Ca,20,40.078,1.54
Sc,21,44.956,2.989
Ti,22,47.867,4.506
V,23,50.942,6.11
Cr,24,51.996,7.19
Mn,25,54.938,7.21
Fe,26,55.845,7.874
Ni,28,58.693,8.912
Co,27,58.933,8.9
Cu,29,63.546,8.96
Zn,30,65.38,7.14
Ga,31,69.723,5.907
Ge,32,72.630,5.323
As,33,74.922,5.776
Se,34,78.971,4.809
Br,35,79.904,3.122
Kr,36,83.798,0.003733
Rb,37,85.468,1.532
Sr,38,87.620,2.63
Y,39,88.906,4.472
Zr,40,91.224,6.52
Nb,41,92.906,8.57
Mo,42,95.951,10.22
Tc,43,98.000,11.49
Ru,44,101.1,12.37
Rh,45,102.9,12.41
Pd,46,106.4,12.02
Ag,47,107.9,10.49
Cd,48,112.4,8.69
In,49,114.8,7.31
Sn,50,118.7,7.29
Sb,51,121.8,6.685
Te,52,127.6,6.232
I,53,126.9,4.93
Xe,54,131.3,0.005887
Cs,55,132.9,1.873
Ba,56,137.3,3.51
La,57,138.9,6.154
Ce,58,140.1,6.77
Pr,59,140.9,6.77
Nd,60,144.2,7.00
Pm,61,145.0,7.00
